vessel,stationid,stratum,latitude,longitude,priority
1,139-75,120,55.43493,-158.5208,HIGH
OEX,139-62,120,54.87782,-158.5208,HIGH
OEX,139-82,120,55.72661,-158.5208,HIGH
1,141-56,320,54.6261,-158.3552,HIGH
OEX,141-76,120,55.4781,-158.3552,HIGH
OEX,141-60,122,54.78974,-158.3552,HIGH
1,142-93,20,56.2196,-158.2728,HIGH
OEX,142-58,221,54.72607,-158.2728,HIGH
1,143-88,20,56.00681,-158.19,HIGH
1,143-81,120,55.69473,-158.19,HIGH
1,144-87,20,55.9563,-158.1072,HIGH
1,144-89,20,56.04383,-158.1072,HIGH
1,144-58,221,54.71328,-158.1072,HIGH
OEX,144-71,120,55.2627,-158.1072,HIGH
OEX,144-97,120,56.39613,-158.1072,HIGH
OEX,145-68,21,55.134,-158.0247,HIGH
OEX,146-74,120,55.39565,-157.942,HIGH
OEX,147-62,122,54.87782,-157.8592,HIGH
OEX,148-63,122,54.9204,-157.7767,HIGH
OEX,148-60,221,54.7928,-157.7767,HIGH
1,150-61,320,54.82235,-157.6113,HIGH
OEX,151-76,21,55.4781,-157.5288,HIGH
OEX,151-95,120,56.30772,-157.5288,HIGH
OEX,153-68,122,55.124,-157.3637,HIGH
OEX,155-77,21,55.52132,-157.1982,HIGH
1,156-104,20,56.7071,-157.1157,HIGH
1,156-75,21,55.43493,-157.1157,HIGH
1,157-72,21,55.3057,-157.033,HIGH
1,157-78,21,55.5646,-157.033,HIGH
1,157-84,220,55.82161,-157.033,HIGH
OEX,157-79,21,55.60793,-157.033,HIGH
OEX,157-67,221,55.09305,-157.033,HIGH
OEX,157-87,121,55.94872,-157.0317,HIGH
1,158-101,20,56.57352,-156.9502,HIGH
OEX,158-73,21,55.34873,-156.9502,HIGH
OEX,158-69,122,55.17682,-156.9502,HIGH
1,159-68,221,55.13204,-156.8678,HIGH
OEX,159-71,21,55.2627,-156.8678,HIGH
1,160-78,21,55.5646,-156.785,HIGH
1,160-87,121,55.95285,-156.785,HIGH
1,161-105,121,56.75173,-156.7022,HIGH
1,162-79,121,55.60358,-156.6236,HIGH
1,162-86,121,55.92796,-156.6236,HIGH
OEX,162-88,121,55.99659,-156.6198,HIGH
OEX,162-97,121,56.39613,-156.6198,HIGH
1,163-103,121,56.66253,-156.537,HIGH
1,163-105,121,56.75173,-156.537,HIGH
OEX,163-83,220,55.78172,-156.537,HIGH
OEX,164-71,122,55.2627,-156.4542,HIGH
1,165-119,20,57.37643,-156.3717,HIGH
1,165-71,122,55.2627,-156.3717,HIGH
OEX,166-73,122,55.34873,-156.289,HIGH
OEX,167-106,121,56.7964,-156.2062,HIGH
OEX,167-110,121,56.9757,-156.2062,HIGH
1,168-91,220,56.13162,-156.1237,HIGH
OEX,168-107,121,56.84112,-156.1237,HIGH
OEX,168-96,121,56.3519,-156.1237,HIGH
OEX,169-94,220,56.2528,-156.0413,HIGH
1,170-83,22,55.78172,-155.9587,HIGH
OEX,170-98,220,56.4404,-155.9587,HIGH
OEX,170-89,22,56.02878,-155.9412,HIGH
OEX,171-96,121,56.3519,-155.876,HIGH
1,172-107,220,56.84112,-155.7933,HIGH
OEX,172-78,122,55.5646,-155.7933,HIGH
OEX,173-81,22,55.69774,-155.7107,HIGH
OEX,173-86,22,55.9126,-155.7107,HIGH
1,174-78,122,55.5646,-155.628,HIGH
OEX,174-77,122,55.52132,-155.628,HIGH
1,175-89,22,56.04383,-155.5452,HIGH
OEX,175-94,22,56.26362,-155.5452,HIGH
OEX,175-97,22,56.39613,-155.5452,HIGH
OEX,175-104,220,56.7071,-155.5452,HIGH
1,175-79,221,55.603,-155.5366,HIGH
1,176-125,20,57.65573,-155.4627,HIGH
1,176-126,20,57.70152,-155.4627,HIGH
1,176-97,22,56.39613,-155.4627,HIGH
1,176-112,220,57.06562,-155.4627,HIGH
OEX,176-115,220,57.201,-155.4627,HIGH
1,177-124,121,57.61862,-155.387,HIGH
